Distance,Force
216.07709,354.93182
216.07709,354.93182
216.31256,354.5472
216.31256,354.5472
216.57996,354.11148
216.57996,354.11148
216.82547,353.71234
216.82547,353.71234
217.03418,353.37375
217.03418,353.37375
217.24838,353.02692
217.24838,353.02692
217.46956,352.66956
217.46956,352.66956
217.70894,352.28354
217.70894,352.28354
218.01999,351.78323
218.01999,351.78323
218.38992,351.19003
218.38992,351.19003
218.78764,350.55457
218.78764,350.55457
219.21397,349.8759
219.21397,349.8759
219.63861,349.20255
219.63861,349.20255
220.02501,348.59204
220.02501,348.59204
220.401,348.00006
220.401,348.00006
220.7843,347.39865
220.7843,347.39865
221.18086,346.77856
221.18086,346.77856
221.63194,346.07596
221.63194,346.07596
222.14806,345.2755
222.14806,345.2755
222.69923,344.42474
222.69923,344.42474
223.27635,343.5385
223.27635,343.5385
223.86017,342.64658
223.86017,342.64658
224.414,341.80466
224.414,341.80466
224.9485,340.9961
224.9485,340.9961
225.48616,340.1866
225.48616,340.1866
226.0356,339.36334
226.0356,339.36334
226.6273,338.48117
226.6273,338.48117
227.28036,337.51285
227.28036,337.51285
227.9732,336.4916
227.9732,336.4916
228.69118,335.43982
228.69118,335.43982
229.4186,334.38083
229.4186,334.38083
230.12436,333.35977
230.12436,333.35977
230.80856,332.37582
230.80856,332.37582
231.49162,331.39932
231.49162,331.39932
232.18509,330.41373
232.18509,330.41373
232.91286,329.3857
232.91286,329.3857
233.69481,328.2883
233.69481,328.2883
234.51732,327.1418
234.51732,327.1418
235.36458,325.96918
235.36458,325.96918
236.22188,324.7911
236.22188,324.7911
237.06369,323.64264
237.06369,323.64264
237.88542,322.52936
237.88542,322.52936
238.70326,321.4289
238.70326,321.4289
239.52998,320.32416
239.52998,320.32416
240.38544,319.18893
240.38544,319.18893
241.28749,318.00058
241.28749,318.00058
242.22801,316.77094
242.22801,316.77094
243.19241,315.5199
243.19241,315.5199
244.16658,314.2662
244.16658,314.2662
245.12962,313.03653
245.12962,313.03653
246.07549,311.83817
246.07549,311.83817
247.01631,310.65524
247.01631,310.65524
247.96458,309.47195
247.96458,309.47195
248.93742,308.2674
248.93742,308.2674
249.94983,307.02374
249.94983,307.02374
251.00359,305.73993
251.00359,305.73993
252.09503,304.42148
252.09503,304.42148
253.23357,303.0582
253.23357,303.0582
254.39243,301.683
254.39243,301.683
255.56767,300.30112
255.56767,300.30112
256.79056,298.8766
256.79056,298.8766
258.064,297.40744
258.064,297.40744
259.42978,295.84772
259.42978,295.84772
260.89886,294.1882
260.89886,294.1882
262.45648,292.4489
262.45648,292.4489
264.08032,290.6574
264.08032,290.6574
265.77194,288.81433
265.77194,288.81433
267.49738,286.95834
267.49738,286.95834
269.25412,285.09302
269.25412,285.09302
271.01944,283.24283
271.01944,283.24283
272.79465,281.40637
272.79465,281.40637
274.58966,279.5735
274.58966,279.5735
276.39673,277.75226
276.39673,277.75226
278.2192,275.93933
278.2192,275.93933
280.04968,274.14212
280.04968,274.14212
281.88333,272.36514
281.88333,272.36514
283.71503,270.6129
283.71503,270.6129
285.54196,268.88754
285.54196,268.88754
287.36517,267.18747
287.36517,267.18747
289.18765,265.50943
289.18765,265.50943
291.01398,263.84888
291.01398,263.84888
292.848,262.2021
292.848,262.2021
294.70178,260.55832
294.70178,260.55832
296.54318,258.9458
296.54318,258.9458
298.336,257.3949
298.336,257.3949
299.1642,256.6847
299.1642,256.6847
297.29358,258.2944
297.29358,258.2944
295.30823,260.02505
295.30823,260.02505
293.3086,261.79175
293.3086,261.79175
291.32074,263.572
291.32074,263.572
289.3537,265.3576
289.3537,265.3576
287.3924,267.16226
287.3924,267.16226
285.42206,269.0001
285.42206,269.0001
